core,channel,dense_block_fraction_0.080,dense_block_fraction_0.200,max,max_block_density_0.080,max_block_density_0.200,mean,mean_block_density_0.080,mean_block_density_0.200,mean_intensity_per_pixel,median,p99,pos_fraction_0.080,pos_fraction_0.200,pos_mean_0.080,pos_mean_0.200,pos_p95_0.080,pos_p95_0.200,speckle_index,speckle_score,std,total_intensity
core_163,19,0.0,0.0,0.2051117718219757,0.0517578125,0.0009765625,0.0030689171981066465,4.172325134277344e-05,2.384185791015625e-07,0.0030689171981066465,0.003036545356735587,0.004852368962019682,4.172325134277344e-05,2.384185791015625e-07,0.11541401594877243,0.2051117718219757,0.17329519987106323,0.2051117718219757,115415.01594877243,0.11640915877752518,0.0012472688686102629,12871.9716796875
core_164,0,0.0908203125,0.010498046875,0.5058671236038208,1.0,0.9921875,0.02542317658662796,0.10111212730407715,0.015113353729248047,0.02542317658662796,0.006958113983273506,0.2235599309206009,0.10111212730407715,0.015113353729248047,0.14378559589385986,0.2523292303085327,0.25967803597450256,0.34938737750053406,1.5831812152446032,0.13014601629004324,0.04598848149180412,106632.53125
core_164,1,0.1103515625,0.00048828125,0.3473716378211975,1.0,0.919921875,0.03466031327843666,0.09799480438232422,0.0011432170867919922,0.03466031327843666,0.029633020982146263,0.16314946115016937,0.09799480438232422,0.0011432170867919922,0.1259009838104248,0.22004583477973938,0.1750209778547287,0.26143431663513184,1.140906753392562,0.11446534672599773,0.03690652921795845,145375.890625
core_164,2,0.0,0.0,0.24396124482154846,0.162109375,0.001953125,0.004151764325797558,0.00034046173095703125,1.430511474609375e-06,0.004151764325797558,0.0032501716632395983,0.013916227966547012,0.00034046173095703125,1.430511474609375e-06,0.10460133850574493,0.22315047681331635,0.16132907569408417,0.24250781536102295,104602.33850574493,0.10556538529124589,0.0037935676518827677,17413.76171875
core_164,3,0.0,0.0,0.022995345294475555,0.0,0.0,0.003068604739382863,0.0,0.0,0.003068604739382863,0.0030975814443081617,0.00746166193857789,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.001,0.001305812387727201,12870.6611328125
core_164,4,0.0,0.0,0.059479668736457825,0.0,0.0,0.0018719845684245229,0.0,0.0,0.0018719845684245229,0.001937895780429244,0.003402761882171035,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.001,0.0012381455162540078,7851.67236328125
core_164,5,0.0,0.0,0.00857557076960802,0.0,0.0,0.0027616629377007484,0.0,0.0,0.0027616629377007484,0.0028992141596972942,0.00476081483066082,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.001,0.0007346279453486204,11583.25390625
core_164,6,0.0,0.0,0.4143434762954712,0.294921875,0.041015625,0.0055521754547953606,0.0027053356170654297,3.600120544433594e-05,0.0055521754547953606,0.0035858701448887587,0.048676278442144394,0.0027053356170654297,3.600120544433594e-05,0.10635557770729065,0.24352118372917175,0.1605249047279358,0.3517204523086548,106356.57770729065,0.10706514483922848,0.008747313171625137,23287.51171875
core_164,7,0.0,0.0,0.00668345158919692,0.0,0.0,0.0017933922354131937,0.0,0.0,0.0017933922354131937,0.001937895780429244,0.0036011291667819023,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.001,0.0012201047502458096,7522.0322265625
core_164,8,0.0,0.0,0.3695582449436188,0.248046875,0.103515625,0.005239981692284346,0.00033593177795410156,3.695487976074219e-05,0.005239981692284346,0.003753719385713339,0.022644389420747757,0.00033593177795410156,3.695487976074219e-05,0.1302618384361267,0.23717346787452698,0.22815288603305817,0.3181994557380676,130262.83843612671,0.13121774341336334,0.004909199196845293,21978.076171875
core_164,9,0.0,0.0,0.03347829356789589,0.0,0.0,0.0026673057582229376,0.0,0.0,0.0026673057582229376,0.0027924010064452887,0.004318303428590298,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.001,0.0007369476370513439,11187.4912109375
core_164,10,0.0,0.0,0.3466239273548126,0.3330078125,0.0517578125,0.004269726574420929,0.0017964839935302734,5.078315734863281e-05,0.004269726574420929,0.0028992141596972942,0.04005493223667145,0.0017964839935302734,5.078315734863281e-05,0.11011400818824768,0.23661133646965027,0.1765774041414261,0.2990890145301819,110115.00818824768,0.11091439365108051,0.00777751998975873,17908.53125
core_164,11,0.0,0.0,0.2400244176387787,0.3037109375,0.0068359375,0.004821681417524815,0.0010306835174560547,7.152557373046875e-06,0.004821681417524815,0.0033264667727053165,0.034195467829704285,0.0010306835174560547,7.152557373046875e-06,0.10897572338581085,0.21128709614276886,0.16739146411418915,0.233434796333313,108976.72338581085,0.1098623732203968,0.006685395259410143,20223.59765625
core_164,12,0.0,0.0,0.04910353198647499,0.0,0.0,0.0031115266028791666,0.0,0.0,0.0031115266028791666,0.0029755092691630125,0.0069886320270597935,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.001,0.0013670591870322824,13050.6884765625
core_164,13,0.00830078125,0.000732421875,0.5212939381599426,0.7724609375,0.3896484375,0.018626166507601738,0.013215780258178711,0.001680612564086914,0.018626166507601738,0.01335164438933134,0.08673228323459625,0.013215780258178711,0.001680612564086914,0.12713882327079773,0.27102676033973694,0.26800182461738586,0.39360344409942627,15.314764318898158,0.12644536873990928,0.021452831104397774,78123.8046875
core_164,14,0.0,0.0,0.030472267419099808,0.0,0.0,0.0028991205617785454,0.0,0.0,0.0028991205617785454,0.002868696115911007,0.006713969632983208,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.001,0.0014795272145420313,12159.79296875
core_164,15,0.0,0.0,0.10026703029870987,0.0283203125,0.0,0.0030945525504648685,7.62939453125e-06,0.0,0.0030945525504648685,0.0030212863348424435,0.0061951628886163235,7.62939453125e-06,0.0,0.09059520065784454,0.0,0.09834897518157959,0.0,90596.20065784454,0.09159450184192156,0.0013909456320106983,12979.494140625
core_164,16,0.0,0.0,0.0321202427148819,0.0,0.0,0.0030838404782116413,0.0,0.0,0.0030838404782116413,0.0030670634005218744,0.005767910275608301,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.001,0.0010795941343531013,12934.564453125
core_164,17,0.0,0.0,0.14833295345306396,0.0732421875,0.0,0.004270470235496759,9.274482727050781e-05,0.0,0.004270470235496759,0.003219653619453311,0.02532997727394104,9.274482727050781e-05,0.0,0.09723704308271408,0.0,0.125642791390419,0.0,97238.04308271408,0.0982279321051218,0.004235365893691778,17911.650390625
core_164,18,0.0,0.0,0.0799725353717804,0.0,0.0,0.004580178763717413,0.0,0.0,0.004580178763717413,0.0034637979697436094,0.01724269427359104,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.001,0.0032331617549061775,19210.662109375
core_164,19,0.0,0.0,0.016296636313199997,0.0,0.0,0.002985666273161769,0.0,0.0,0.002985666273161769,0.002990768291056156,0.004867628216743469,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.001,0.0007805608329363167,12522.7919921875
core_165,0,0.0361328125,0.0,0.43706417083740234,0.875,0.33984375,0.01409436296671629,0.04779529571533203,0.006539106369018555,0.01409436296671629,0.003570611122995615,0.17802700400352478,0.04779529571533203,0.006539106369018555,0.1402924358844757,0.2376599758863449,0.24255740642547607,0.29707789421081543,3.8826081771602623,0.1345393221290376,0.032376185059547424,59116.04296875
core_165,1,0.0,0.0,0.13224993646144867,0.12890625,0.0,0.008707101456820965,8.869171142578125e-05,0.0,0.008707101456820965,0.0028839551378041506,0.03970397636294365,8.869171142578125e-05,0.0,0.09233283251523972,0.0,0.1200701892375946,0.0,92333.83251523972,0.09332455466659173,0.008610050193965435,36520.23046875
core_165,2,0.0,0.0,0.13113602995872498,0.0390625,0.0,0.003126074792817235,2.0265579223632812e-05,0.0,0.003126074792817235,0.003128099488094449,0.004364080261439085,2.0265579223632812e-05,0.0,0.0959002673625946,0.0,0.1173144057393074,0.0,95901.2673625946,0.09689830362254957,0.0010236316593363881,13111.7080078125
core_165,3,0.0,0.0,0.3662470579147339,0.142578125,0.0283203125,0.0033387260045856237,0.0004458427429199219,2.9802322387695312e-05,0.0033387260045856237,0.0030975814443081617,0.012726024724543095,0.0004458427429199219,2.9802322387695312e-05,0.11984169483184814,0.24658508598804474,0.21334171295166016,0.33257341384887695,119842.69483184814,0.12078781843916522,0.003920022398233414,14003.6318359375
